Layer Name,n,d,LoftQ (2B),LoftQ (4B),Loftq-LPLR (2B),Loftq-LPLR (4B)
model.layers.3.self_attn.q_proj.weight,4096,4096,0.49154065892333726,0.08042282313908565,0.49154866015370097,0.0804251590687556
model.layers.3.self_attn.k_proj.weight,4096,1024,0.4608331622148532,0.07621561528127595,0.4607266567674932,0.07621375418934344
model.layers.3.self_attn.v_proj.weight,4096,1024,0.4771764964010513,0.07341626722814613,0.47718893198585255,0.07339634768230997
model.layers.3.self_attn.o_proj.weight,4096,4096,0.4967737745218864,0.08020246624895334,0.49672735660010675,0.08021599918714663
model.layers.3.mlp.gate_proj.weight,14336,4096,0.49958533581350695,0.0837090744220377,0.49956646241984903,0.08371747898015101
model.layers.3.mlp.up_proj.weight,14336,4096,0.5015419524482576,0.08370981418881059,0.5015549287960831,0.0837172239783359
model.layers.3.mlp.down_proj.weight,14336,4096,0.5012135272040295,0.08382348870886393,0.5011912076194758,0.08382065656876343
model.layers.4.self_attn.q_proj.weight,4096,4096,0.49020678014851765,0.0804320265024292,0.4901379177575143,0.08045392290490626
model.layers.4.self_attn.k_proj.weight,4096,1024,0.463443165068136,0.07662302403326328,0.4634798233000986,0.07660216112015278
model.layers.4.self_attn.v_proj.weight,4096,1024,0.4772793608783759,0.07342839326351781,0.4772397468110905,0.07340408150520984
model.layers.4.self_attn.o_proj.weight,4096,4096,0.49517081944763475,0.08019286753404428,0.4950286503603475,0.0801969220027129
model.layers.4.mlp.gate_proj.weight,14336,4096,0.4988535159051675,0.08382778068379113,0.49884945830674643,0.08383027320853552
model.layers.4.mlp.up_proj.weight,14336,4096,0.5013964466772955,0.08382045663639986,0.5013700849444988,0.08382495156778087
model.layers.4.mlp.down_proj.weight,14336,4096,0.5011490495886433,0.08399363230207861,0.5010963126393487,0.08399599541355349
model.layers.5.self_attn.q_proj.weight,4096,4096,0.49097695362165406,0.08032852068588195,0.49087598545158856,0.08033254029844303
model.layers.5.self_attn.k_proj.weight,4096,1024,0.4663512035308651,0.0767549805741676,0.46634756080326795,0.07675235276314493
model.layers.5.self_attn.v_proj.weight,4096,1024,0.477499538448059,0.0733781900866466,0.47746345525605965,0.07338600077759767
model.layers.5.self_attn.o_proj.weight,4096,4096,0.4986551272620085,0.08036567834911625,0.49858459774712505,0.0803741508273905
model.layers.5.mlp.gate_proj.weight,14336,4096,0.4994742414317617,0.0838069128532047,0.4994677585420034,0.08380706449974876
model.layers.5.mlp.up_proj.weight,14336,4096,0.5011145260369161,0.08385566245649444,0.5011220072383434,0.08385770032711445
model.layers.5.mlp.down_proj.weight,14336,4096,0.501167152196317,0.08401985350634121,0.5011306150318662,0.08402651731302485
model.layers.6.self_attn.q_proj.weight,4096,4096,0.49159185724008714,0.08050504037269286,0.49155067931548657,0.08051276481299953
model.layers.6.self_attn.k_proj.weight,4096,1024,0.4648332506932022,0.07694386572551055,0.4647506251344851,0.0769233732754319
model.layers.6.self_attn.v_proj.weight,4096,1024,0.47740879835334205,0.07336982691193379,0.4774507047182181,0.07333953537998489
model.layers.6.self_attn.o_proj.weight,4096,4096,0.4973982623536787,0.08029394440374601,0.49736543013476375,0.08029819601715667
model.layers.6.mlp.gate_proj.weight,14336,4096,0.49982759446277814,0.08391283591235753,0.49976383737221686,0.08391607490893684
model.layers.6.mlp.up_proj.weight,14336,4096,0.5011944416925381,0.0840393152342244,0.5011985159434014,0.08404789260446272
model.layers.6.mlp.down_proj.weight,14336,4096,0.5003327065037236,0.08421610246981652,0.5003156236684962,0.08421578512495556
model.layers.7.self_attn.q_proj.weight,4096,4096,0.48941907597315665,0.08058263360794715,0.48942477070287027,0.0805890474425608
model.layers.7.self_attn.k_proj.weight,4096,1024,0.4617927877908921,0.07727724395420536,0.46181723963129623,0.07723888650636422
model.layers.7.self_attn.v_proj.weight,4096,1024,0.4771628054550546,0.07316635781793739,0.47710858081320834,0.07319644785957727
model.layers.7.self_attn.o_proj.weight,4096,4096,0.4961676632033154,0.08002100266161453,0.49611114156800495,0.08004747481992448
model.layers.7.mlp.gate_proj.weight,14336,4096,0.4993218813311512,0.08388808247343267,0.49928772903477786,0.08389510663791254
model.layers.7.mlp.up_proj.weight,14336,4096,0.5009275315250196,0.083993327260456,0.500929638769304,0.08399797179887876
model.layers.7.mlp.down_proj.weight,14336,4096,0.5006903181294879,0.08417315343680028,0.5006508368222887,0.08417451951594708
model.layers.8.self_attn.q_proj.weight,4096,4096,0.4915746926652091,0.08027779972382333,0.4915027938664994,0.08030633122817125
model.layers.8.self_attn.k_proj.weight,4096,1024,0.4625885830218246,0.07652961193450583,0.462608462678771,0.07654557037471511
model.layers.8.self_attn.v_proj.weight,4096,1024,0.47127061036199897,0.07271628466415618,0.4712786353693811,0.07273267095408766
model.layers.8.self_attn.o_proj.weight,4096,4096,0.4967428195539643,0.0801542680352902,0.49672389493824354,0.08016404794376165
model.layers.8.mlp.gate_proj.weight,14336,4096,0.4992330875666201,0.08399285189828444,0.4992307134580602,0.08399478321675581
model.layers.8.mlp.up_proj.weight,14336,4096,0.500697965122271,0.08405617837755242,0.5007107413463653,0.08406047438290412
model.layers.8.mlp.down_proj.weight,14336,4096,0.5008163072656101,0.08412360319971547,0.500799303541152,0.08413272075095986
model.layers.9.self_attn.q_proj.weight,4096,4096,0.4879099229531156,0.08008201004584121,0.48785749732538386,0.08008129790581132
model.layers.9.self_attn.k_proj.weight,4096,1024,0.463203402075307,0.0784148721044624,0.46317740732688806,0.07842129056086214
model.layers.9.self_attn.v_proj.weight,4096,1024,0.47665370568952614,0.07317120177834908,0.476614483190674,0.07317395768792966
model.layers.9.self_attn.o_proj.weight,4096,4096,0.49698866512938855,0.0801240220548419,0.49694079095291604,0.08013342032337911
model.layers.9.mlp.gate_proj.weight,14336,4096,0.4990077367200352,0.0839778758624347,0.4990085367787366,0.08398916240483016
model.layers.9.mlp.up_proj.weight,14336,4096,0.5006209037104365,0.08397077710801387,0.5005953790284488,0.08398230540446537
model.layers.9.mlp.down_proj.weight,14336,4096,0.5006402067159563,0.0841290791394452,0.5006167865924341,0.08413321272748973
model.layers.10.self_attn.q_proj.weight,4096,4096,0.4909893264972871,0.08041018305849101,0.49098650440581393,0.08041354164131194
model.layers.10.self_attn.k_proj.weight,4096,1024,0.46445000756950755,0.07697171890494921,0.4644622038516988,0.07694957245303433
model.layers.10.self_attn.v_proj.weight,4096,1024,0.4741041477669597,0.07304146209096413,0.47410150233870557,0.07302922698528858
model.layers.10.self_attn.o_proj.weight,4096,4096,0.4973047130129429,0.08017814497795055,0.49728526604527185,0.08019707104470186
model.layers.10.mlp.gate_proj.weight,14336,4096,0.498604269029103,0.08414028109994107,0.4985834567096844,0.08414676095031354
model.layers.10.mlp.up_proj.weight,14336,4096,0.5002890363525486,0.08414589715816904,0.5002975213610088,0.08415705998489333
model.layers.10.mlp.down_proj.weight,14336,4096,0.5003684723197056,0.0843837164610594,0.5003502609573607,0.08438617329694684
model.layers.11.self_attn.q_proj.weight,4096,4096,0.48761931572147965,0.07997439835231418,0.4875131377662704,0.07999037136584058
model.layers.11.self_attn.k_proj.weight,4096,1024,0.458696415226535,0.07788893165211319,0.458702684793189,0.07792597129087632
model.layers.11.self_attn.v_proj.weight,4096,1024,0.47411670076200985,0.0728864470127378,0.47418126097466984,0.07291654679609638
model.layers.11.self_attn.o_proj.weight,4096,4096,0.49549086235392986,0.08008446116581018,0.4954701003496872,0.08008474594485389
model.layers.11.mlp.gate_proj.weight,14336,4096,0.49800560529474175,0.08424857234289637,0.4979638576632639,0.08425349177266848
model.layers.11.mlp.up_proj.weight,14336,4096,0.5003010869677709,0.08424179144701019,0.5002615679991668,0.08424526031107062
model.layers.11.mlp.down_proj.weight,14336,4096,0.4999470906094671,0.08443253367549482,0.499956775861611,0.0844385710979557
model.layers.12.self_attn.q_proj.weight,4096,4096,0.48611944473743346,0.08069355847117829,0.48603964981954423,0.0807055659248185
model.layers.12.self_attn.k_proj.weight,4096,1024,0.45997558595916294,0.07956464762037507,0.4600014659146198,0.07958175265343487
model.layers.12.self_attn.v_proj.weight,4096,1024,0.4765968117558526,0.07324027485016946,0.47653749833317177,0.07325317854579756
model.layers.12.self_attn.o_proj.weight,4096,4096,0.49610000143921223,0.08012147661751017,0.4960371025353411,0.08012272038114604
model.layers.12.mlp.gate_proj.weight,14336,4096,0.49775399084802874,0.08414144414607601,0.4977586340231427,0.08414281954038497
model.layers.12.mlp.up_proj.weight,14336,4096,0.500347889174007,0.0840988931487771,0.5002978517458442,0.08410755187178696
model.layers.12.mlp.down_proj.weight,14336,4096,0.5002707722960597,0.08430335825118797,0.5002916885176522,0.08430719043190817
model.layers.13.self_attn.q_proj.weight,4096,4096,0.4919406623893339,0.08043823586150613,0.49181112020929724,0.0804344918243185
