Layer Name,n,d,LoftQ (2b),LoftQ (4b),LoftQ (8b),Loftq-LPLR (2b),Loftq-LPLR (4b),Loftq-LPLR (4b)
model.layers.0.self_attn.q_proj.weight,4096,4096,0.3984856546034992,0.06022581149747614,8.111679298487514e-06,0.39835136799796944,0.06210996722180878,0.006696994175815107
model.layers.0.self_attn.k_proj.weight,4096,1024,0.3821182744769644,0.07346059070596976,1.989096193634988e-06,0.38241415192507805,0.07359067031927133,0.004699107406114309
model.layers.0.self_attn.v_proj.weight,4096,1024,0.41979272108378957,0.08331477140158815,2.1175075945680693e-06,0.41998754462464777,0.0832885839485984,0.004924813012230381
model.layers.0.self_attn.o_proj.weight,4096,4096,0.44996040938028625,0.09375480104694418,6.716370552769104e-06,0.45005274672591167,0.09395230279614139,0.005535506574005514
